Number,Name,Year,Position,Height,Weight,Hometown,Signed By,GP,GS,Comp,Att,Cmp%,Pass_Yds,Pass_TD,Int_off,Rush,Rush_Yds,Yds/Rush,Rush_TD,Rec,Rec_Yds,Yds/Rec,Rec_TD,Tackles,Sacks,Int_def,PD,FF,BK,SFT,FGM,FGA,Long_FG,XPM,XPA,Punts,Yds/Punt,Long_Punt,TB
2,George Fisher,Jr.*,QB,"6'0""",196,"Manchester, NH",jvstater1,15,15,296,507,58.4,3019,18,1,59,-98,-1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Charles Wilson,So.,DB,"5'11""",200,"Woodbridge, VA",jvstater1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0
4,Arthur Tillman,Sr.,DB,"6'0""",205,"Pittsburgh, PA",jvstater1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,3,6,1,0,0,0,0,0,0,0,0,0,0,0
5,Samuel Gibbs,Sr.,LB,"6'3""",209,"Montross, VA",jvstater1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,3,5,14,0,0,0,0,0,0,0,0,0,0,0,0
8,William Howard,Jr.,TE,"6'3""",193,"Oceanside, CA",jvstater1,15,15,0,0,0,0,0,0,0,0,0,0,46,584,12.7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Scott Young,Fr.*,QB,"6'3""",196,"Pittsburgh, PA",jvstater1,14,5,61,114,53.5,604,4,3,15,-28,-1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Cory Christie,Fr.*,RB,"6'0""",194,"Alhambra, CA",jvstater1,15,4,0,0,0,0,0,0,143,797,5.6,21,16,114,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Robert Green,Jr.,WR,"6'1""",206,"Youngstown, OH",jvstater1,15,15,0,0,0,0,0,0,0,0,0,0,65,745,11.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Dennis Marshall,Fr.,DB,"5'11""",189,"West Portsmouth, OH",jvstater1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Anthony Thompson,Jr.,K,"5'9""",185,"Lancaster, PA",jvstater1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,38,50,61,61,0,0,0,0
17,Jason Lara,Fr.,WR,"6'1""",170,"Atlanta, GA",jvstater1,15,0,0,0,0,0,0,0,0,0,0,0,15,117,7.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Chad Quinones,Sr.*,WR,"6'4""",222,"Ashland, KY",jvstater1,15,14,0,0,0,0,0,0,0,0,0,0,43,420,9.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Frank Turner,Sr.,RB,"5'9""",195,"Walled Lake, MI",jvstater1,14,0,0,0,0,0,0,0,9,20,2.2,1,5,14,2.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Charles Fuller,Sr.,TE,"6'1""",211,"Merion, PA",jvstater1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,William Rios,Fr.,RB,"6'2""",197,"Connersville, IN",jvstater1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Jeremy Marshall,Fr.*,DL,"6'6""",320,"Wyndmoor, PA",jvstater1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Charles O'Brien,Jr.,DB,"6'0""",198,"Mcsherrystown, PA",jvstater1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1,1,10,1,0,0,0,0,0,0,0,0,0,0,0
28,Michael Wolfe,Fr.,DB,"5'11""",203,"Algonac, MI",jvstater1,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
