Number,Name,Year,Position,Height,Weight,Hometown,Signed By,GP,GS,Comp,Att,Cmp%,Pass_Yds,Pass_TD,Int_off,Rush,Rush_Yds,Yds/Rush,Rush_TD,Rec,Rec_Yds,Yds/Rec,Rec_TD,Tackles,Sacks,Int_def,PD,FF,BK,SFT,FGM,FGA,Long_FG,XPM,XPA,Punts,Yds/Punt,Long_Punt,TB
3,Charles Wilson,Sr.,DB,"5'11""",200,"Woodbridge, VA",jvstater1,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0
5,Timothy Thomas,Fr.,QB,"6'2""",205,"Washington, DC",jvstater1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Donald Bond,So.,LB,"6'3""",207,"Pittston, PA",jvstater1,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0
7,Harold Nicholson,Fr.,DB,"6'0""",205,"Wilkes Barre, PA",jvstater1,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Frederick Redmond,So.,WR,"6'3""",217,"Delhi, NY",jvstater1,15,12,0,0,0,0,0,0,0,0,0,0,56,572,10.2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Scott Young,Jr.*,QB,"6'3""",196,"Pittsburgh, PA",jvstater1,15,15,406,648,62.7,4639,35,7,44,-33,-0.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Cory Christie,Jr.*,RB,"6'0""",194,"Alhambra, CA",jvstater1,15,7,0,0,0,0,0,0,224,1103,4.9,20,7,72,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Robert Dalton,So.,P,"5'9""",190,"Philadelphia, PA",jvstater1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,26,41,86,86,77,44.4,68,20
13,William Burns,So.,LB,"6'2""",208,"Houston, TX",jvstater1,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,4,2,6,1,0,0,0,0,0,0,0,0,0,0,0
15,Dennis Marshall,So.*,DB,"5'11""",189,"West Portsmouth, OH",jvstater1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,9,18,1,0,0,0,0,0,0,0,0,0,0,0
17,Jason Lara,Jr.,WR,"6'1""",170,"Atlanta, GA",jvstater1,15,15,0,0,0,0,0,0,0,0,0,0,55,702,12.8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Kenneth Buckner,Fr.,TE,"6'3""",189,"Glen Burnie, MD",jvstater1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Luis Barrett,Fr.,QB,"6'4""",197,"Marion, OH",jvstater1,15,4,19,33,57.6,151,3,0,3,-5,-1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Shawn Cruz,Fr.,DB,"5'11""",208,"Beaver Falls, PA",jvstater1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Johnny Young,So.,DB,"6'0""",221,"Youngstown, OH",jvstater1,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
24,William Rios,So.*,RB,"6'2""",197,"Connersville, IN",jvstater1,15,7,0,0,0,0,0,0,161,929,5.8,11,25,202,8.1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Jeremy Marshall,Jr.*,DL,"6'6""",320,"Wyndmoor, PA",jvstater1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
